"formula","te12","rating","mrr","nonzero","time","sentences","terms","se1","se2","se3","str1","str2","str3","te1","te2","te3","cells","slope","slope2","mrr1","mrr2","mrr3"
"augNorm",12.85979112271542,1.5107049608355065,0.1914302291847981,0.6198433420365528,,,,,,,,,,,,,,,,,,
"augNorm_entropy",12.548302872062676,1.1493472584856397,0.15718015665796334,0.5154046997389032,,,,,,,,,,,,,,,,,,
"augNorm_gfidf",13.000261096605698,1.538903394255871,0.19254714244270335,0.6161879895561354,,,,,,,,,,,,,,,,,,
"augNorm_idf",12.625065274151423,1.1932114882506528,0.1612735712213517,0.5289817232375967,,,,,,,,,,,,,,,,,,
"augNorm_inverse",12.487206266318516,1.106527415143601,0.15326080649840426,0.5070496083550902,,,,,,,,,,,,,,,,,,
"augNorm_normal",11.69060052219318,1.8198433420365507,0.2248476936466491,0.6809399477806785,,,,,,,,,,,,,,,,,,
"binary",13.836031331592691,1.7159268929503892,0.2064577893820715,0.6715404699738899,,,,,,,,,,,,,,,,,,
"binary_entropy",13.404960835509085,1.2422976501305474,0.16510879025239286,0.5493472584856383,,,,,,,,,,,,,,,,,,
"binary_gfidf",13.520104438642262,1.6475195822454292,0.2006295329271828,0.6605744125326378,,,,,,,,,,,,,,,,,,
"binary_idf",13.498433420365481,1.3070496083550887,0.17095155207426735,0.5702349869451689,,,,,,,,,,,,,,,,,,
"binary_inverse",13.297911227154064,1.1916449086161884,0.15928633594429945,0.5362924281984333,,,,,,,,,,,,,,,,,,
"binary_normal",12.412010443864204,2.014099216710178,0.2415172613867128,0.7174934725848557,,,,,,,,,,,,,,,,,,
"log",13.554308093994775,1.6563968668407274,0.20213519002030703,0.6605744125326378,,,,,,,,,,,,,,,,,,
"log_entropy",13.262402088772836,1.2177545691905995,0.16270670147954722,0.5446475195822446,,,,,,,,,,,,,,,,,,
"log_gfidf",12.249869451697116,1.4167101827676212,0.17756890049318205,0.5916449086161861,,,,,,,,,,,,,,,,,,
"log_idf",13.366057441253236,1.2772845953002592,0.1667101827676239,0.5613577023498687,,,,,,,,,,,,,,,,,,
"log_inverse",13.155874673629222,1.1718015665796337,0.1592892370176964,0.5336814621409911,,,,,,,,,,,,,,,,,,
"log_normal",11.416187989556137,1.6934725848563936,0.20481288076588336,0.6480417754569191,,,,,,,,,,,,,,,,,,
"tf",12.91201044386421,1.5806788511749337,0.19420365535248016,0.640731070496084,,,,,,,,,,,,,,,,,,
"tf_entropy",12.92219321148823,1.1853785900783282,0.15713664055700557,0.5404699738903384,,,,,,,,,,,,,,,,,,
"tf_gfidf",11.391644908616184,1.2830287206266302,0.1652393385552653,0.5571801566579624,,,,,,,,,,,,,,,,,,
"tf_idf",12.996344647519582,1.2224543080939938,0.15893530606324294,0.5524804177545682,,,,,,,,,,,,,,,,,,
"tf_inverse",12.862140992167102,1.1378590078328958,0.1540063823614737,0.5232375979112261,,,,,,,,,,,,,,,,,,
"tf_normal",10.815665796344625,1.5033942558746727,0.18672758920800697,0.6078328981723223,,,,,,,,,,,,,,,,,,
"Minimum",2.5,0.0,0.0,0.0,7.0,11.0,22.0,0.0,0.0,0.0,1.0,0.2360303082374916,0.22391801125862254,2.0,1.0,1.0,336.0,0.2360303082374916,0.29454393481026153,0.0,0.0,0.0
"Maximum",23.0,5.0,1.0,1.0,958.0,72.0,259.0,54.0,60.0,60.0,1.0,1.0,1.0,28.0,27.0,27.0,16058.0,1.0,1.0,1.0,1.0,1.0
"Mean",12.753557441253264,1.4076370757180157,0.17974845276086562,0.5889904264577894,19.27680591818973,23.33107049608355,93.78067885117494,9.084899912967797,9.571627502175804,9.634029590948652,1.0,0.9129284079519979,0.8589820631073635,13.495822454308094,12.011292428198434,11.171627502175806,2398.3681462140994,0.9129284079519979,0.8963809132592575,0.20911771105309046,0.18357629823033936,0.1465513489991214
"Std. deviation",2.668536004837013,1.4563270940161817,0.1726012087190654,0.49202232806819335,8.656963946070663,9.048102161795823,31.007166233929258,8.401110751711403,8.351281732441873,8.262499625234607,0.0,0.07681122783405939,0.08764588726616958,3.3896013078021534,2.952996514061237,2.803206156690983,1716.4685183990218,0.07681122783405939,0.06759513734046976,0.33846478692344845,0.3013751323056016,0.2668212909422287
"Variance",7.121084409111487,2.1208886047656166,0.029791177251282375,0.24208597131764487,74.94302476356734,81.86815273029426,961.4443578585227,70.57866186252093,69.74390657461733,68.26890005700203,0.0,0.00589996472137578,0.0076818015546741055,11.489397025854068,8.720188412057816,7.857964756910234,2946264.174654933,0.00589996472137578,0.004569102592076969,0.11455841198713534,0.09082697037221886,0.07119360130007743
"Median",12.5,1.0,0.16666666666666666,1.0,17.0,21.0,88.0,7.0,8.0,8.0,1.0,0.9330005560718848,0.8744746321952055,13.0,12.0,11.0,1817.0,0.9330005560718848,0.9090211121166754,0.0,0.0,0.0
